	(1)	(2)	(3)	(4)	(5)	(6)
	R1	R2	R3	R4	R5	R6
VARIABLES	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium
						
_IstaXyea_14_2007	-0.0465	-0.121**	-0.116*	-0.0175	-0.178**	-0.177*
	(0.0996)	(0.0606)	(0.0600)	(0.103)	(0.0862)	(0.0906)
_IstaXyea_14_2008	-0.0742	-0.151**	-0.152**	-0.0661	-0.284***	-0.273***
	(0.110)	(0.0744)	(0.0755)	(0.180)	(0.0797)	(0.0802)
_IstaXyea_14_2009	-0.143*	-0.224***	-0.231***	0.0277	-0.206***	-0.195***
	(0.0830)	(0.0583)	(0.0552)	(0.219)	(0.0682)	(0.0686)
_IstaXyea_14_2010	-0.193**	-0.247***	-0.243***	-0.0214	-0.236***	-0.221***
	(0.0844)	(0.0571)	(0.0540)	(0.198)	(0.0605)	(0.0576)
_IstaXyea_15_2007	-0.0314	-0.0765	-0.0733	-0.0830	-0.189*	-0.201*
	(0.0988)	(0.0755)	(0.0664)	(0.0787)	(0.0982)	(0.104)
_IstaXyea_15_2008	-0.0443	-0.0923	-0.0992	-0.00874	-0.191	-0.197*
	(0.127)	(0.103)	(0.0967)	(0.300)	(0.119)	(0.114)
_IstaXyea_15_2009	-0.0466	-0.0995	-0.107	0.129	-0.0677	-0.0772
	(0.0940)	(0.0766)	(0.0693)	(0.312)	(0.125)	(0.126)
_IstaXyea_15_2010	-0.0614	-0.104	-0.0864	0.126	-0.111	-0.0996
	(0.0936)	(0.0718)	(0.0680)	(0.284)	(0.0705)	(0.0728)
_IstaXyea_16_2007	-0.106	-0.170***	-0.165***	-0.212***	-0.288**	-0.274**
	(0.0850)	(0.0600)	(0.0577)	(0.0575)	(0.124)	(0.124)
_IstaXyea_16_2008	-0.247**	-0.318***	-0.323***	-0.392***	-0.535***	-0.510***
	(0.0976)	(0.0770)	(0.0718)	(0.133)	(0.0965)	(0.0964)
_IstaXyea_16_2009	-0.298***	-0.366***	-0.370***	-0.233*	-0.406***	-0.398***
	(0.0772)	(0.0642)	(0.0601)	(0.139)	(0.0826)	(0.0828)
_IstaXyea_16_2010	-0.341***	-0.402***	-0.389***	-0.246*	-0.429***	-0.412***
	(0.0706)	(0.0550)	(0.0476)	(0.138)	(0.0841)	(0.0777)
_IstaXyea_17_2007	-0.101	-0.147***	-0.148***	-0.152**	-0.273**	-0.268**
	(0.0631)	(0.0460)	(0.0465)	(0.0593)	(0.104)	(0.104)
_IstaXyea_17_2008	-0.186**	-0.235***	-0.231***	-0.253***	-0.396***	-0.378***
	(0.0762)	(0.0658)	(0.0641)	(0.0518)	(0.0995)	(0.0902)
_IstaXyea_17_2009	-0.232***	-0.271***	-0.272***	-0.277***	-0.353***	-0.332***
	(0.0654)	(0.0498)	(0.0512)	(0.0812)	(0.0878)	(0.0752)
_IstaXyea_17_2010	-0.274***	-0.306***	-0.309***	-0.408***	-0.487***	-0.472***
	(0.0604)	(0.0523)	(0.0531)	(0.0510)	(0.0861)	(0.0872)
_IstaXyea_18_2007	-0.0375	-0.103*	-0.106*	-0.0457	-0.153	-0.164
	(0.0928)	(0.0589)	(0.0558)	(0.0837)	(0.0971)	(0.103)
_IstaXyea_18_2008	-0.113	-0.192***	-0.192***	-0.194*	-0.371***	-0.356***
	(0.0952)	(0.0624)	(0.0629)	(0.0979)	(0.105)	(0.115)
_IstaXyea_18_2009	-0.135	-0.227***	-0.217***	-0.0574	-0.248***	-0.235***
	(0.0811)	(0.0577)	(0.0599)	(0.159)	(0.0732)	(0.0742)
_IstaXyea_18_2010	-0.114	-0.170***	-0.150**	-0.0762	-0.242***	-0.226***
